potentiometer0,potentiometer1,potentiometer2,potentiometer3,potentiometer4,potentiometer5,potentiometer6,encoder0,encoder1,encoder2,encoder3,encoder4,encoder5,encoder6
-1.0409313112210608,-0.5154910438753677,0.00517387607347175,-2.9170560966505326,-2.980286282633675,-2.9370503600858866,-2.968370360080212,-1.0384604441312213,-0.5162338017104116,0.0047509028500000005,-2.9697579700638976,-2.968282413910923,-2.968148272442471,-2.968148272442471
-1.040826848496916,-0.5153188983351773,0.0051657206423475,-2.917243922432087,-2.9791512579710213,-2.935736067500984,-2.9671486862549497,-1.0384681668640956,-0.5162260789775374,0.0047509028500000005,-2.9696238285954455,-2.968282413910923,-2.968148272442471,-2.968148272442471
-1.0405656916865544,-0.5151467527949871,0.005145332064536868,-2.916868270868978,-2.979907941079458,-2.9366748479187708,-2.967806510622398,-1.03847588959697,-0.5162183562446632,0.0047509028500000005,-2.9696238285954455,-2.968282413910923,-2.968148272442471,-2.968148272442471
-1.040670154410699,-0.5152156110110633,0.00515756521122325,-2.9169621837597557,-2.980002526468012,-2.9362993357516567,-2.9679004855320343,-1.0384913350627183,-0.5162183562446632,0.0047509028500000005,-2.9694896871269933,-2.968282413910923,-2.968148272442471,-2.968148272442471
-1.0408790798589884,-0.5153188983351773,0.00517387607347175,-2.917337835322863,-2.980286282633675,-2.937331994211223,-2.9685583098994837,-1.0384913350627183,-0.5162183562446632,0.0047509028500000005,-2.9694896871269933,-2.968282413910923,-2.968148272442471,-2.968148272442471
-1.04114023666935,-0.5154910438753677,0.00520242008240664,-2.916774357978201,-2.979624184913793,-2.9362054577098764,-2.9676185608031274,-1.0384990577955926,-0.5162183562446632,0.0047509028500000005,-2.9694896871269933,-2.968282413910923,-2.968148272442471,-2.968148272442471
-1.04114023666935,-0.515525472983406,0.0051861092201581326,-2.9171500095413094,-2.9792458433595757,-2.935736067500984,-2.967242661164585,-1.0385067805284667,-0.5162106335117889,0.0047509028500000005,-2.9694896871269933,-2.968148272442471,-2.968148272442471,-2.968148272442471
-1.0403567662382656,-0.5149746072547967,0.0051208657711641105,-2.916023054851985,-2.9800971118565656,-2.9370503600858866,-2.968370360080212,-1.0385067805284667,-0.5162183562446632,0.0047509028500000005,-2.9694896871269933,-2.968148272442471,-2.968148272442471,-2.968148272442471
-1.0407223857727714,-0.5152156110110633,0.00515756521122325,-2.9170560966505326,-2.979907941079458,-2.9366748479187708,-2.968276385170576,-1.0384990577955926,-0.5162183562446632,0.0047509028500000005,-2.9694896871269933,-2.968148272442471,-2.968148272442471,-2.968148272442471
-1.0410880053072777,-0.515525472983406,0.005190186935720258,-2.917243922432087,-2.9794350141366843,-2.9358299455427623,-2.9670547113453134,-1.0384913350627183,-0.5162183562446632,0.0047509028500000005,-2.969355545658541,-2.968148272442471,-2.968148272442471,-2.968148272442471
-1.040670154410699,-0.5152500401191014,0.005149409780098993,-2.9171500095413094,-2.979718770302348,-2.9365809698769922,-2.9679004855320343,-1.038483612329844,-0.5162183562446632,0.0047509028500000005,-2.969355545658541,-2.968148272442471,-2.968014130974019,-2.968014130974019
-1.0402523035141205,-0.5150434654708729,0.005129021202288361,-2.916210880633539,-2.9791512579710213,-2.935548311417426,-2.9673366360742213,-1.038483612329844,-0.5162183562446632,0.0047509028500000005,-2.969355545658541,-2.968148272442471,-2.968014130974019,-2.968014130974019
-1.0410880053072777,-0.5155599020914441,0.005190186935720258,-2.917243922432087,-2.979907941079458,-2.9365809698769922,-2.967994460441669,-1.038483612329844,-0.5162260789775374,0.0047509028500000005,-2.969355545658541,-2.968148272442471,-2.968014130974019,-2.968014130974019
