potentiometer0,potentiometer1,potentiometer2,potentiometer3,potentiometer4,potentiometer5,potentiometer6,encoder0,encoder1,encoder2,encoder3,encoder4,encoder5,encoder6
-1.0537232770793086,-0.529042955657236,0.0047257052665059356,-2.9420517782430395,-2.9434175928642583,-2.9619683957355316,-2.975711322170203,-1.0386921261174482,-0.5171836978539411,0.00468219948,-2.9694896871269933,-2.968148272442471,-2.967611706568662,-2.9684165553793753
-1.0545145276529664,-0.5295651435368238,0.0047866428365073675,-2.9430878414873916,-2.9432299677286196,-2.9617790205997996,-2.9758063222377444,-1.0386921261174482,-0.5171914205868154,0.00468219948,-2.9694896871269933,-2.968148272442471,-2.967611706568662,-2.9684165553793753
-1.0543035274999908,-0.5295999560621298,0.00479070534117413,-2.942805278784387,-2.944074280838997,-2.962631208710596,-2.9762813225754456,-1.0386921261174482,-0.5172068660525638,0.00468219948,-2.9694896871269933,-2.968148272442471,-2.967611706568662,-2.968282413910923
-1.0544617776147223,-0.5295999560621298,0.004782580331840605,-2.9426169036490495,-2.943511405432079,-2.962063083303398,-2.9759963223728247,-1.0386921261174482,-0.5172223115183123,0.00468219948,-2.9694896871269933,-2.968148272442471,-2.967611706568662,-2.968282413910923
-1.0546200277294537,-0.5297392061633532,0.00479070534117413,-2.9425227160813816,-2.9431361551607997,-2.9619683957355316,-2.9755213220351218,-1.0386998488503223,-0.5172300342511865,0.00468219948,-2.969355545658541,-2.968148272442471,-2.967611706568662,-2.968282413910923
-1.05456727769121,-0.5297392061633532,0.00479070534117413,-2.9426169036490495,-2.944637156245914,-2.9632940216856585,-2.9770413231157704,-1.0386998488503223,-0.517245479716935,0.00468219948,-2.969355545658541,-2.968148272442471,-2.967611706568662,-2.968282413910923
-1.0539342772322837,-0.5293562683849888,0.004750080294506506,-2.942711091216719,-2.94304234259298,-2.961494957896201,-2.9753313219000423,-1.0386921261174482,-0.517245479716935,0.00468219948,-2.969355545658541,-2.968148272442471,-2.967611706568662,-2.968282413910923
-1.0543035274999908,-0.5294955184862122,0.004762267808506797,-2.9426169036490495,-2.944730968813735,-2.96300995898206,-2.9770413231157704,-1.0386921261174482,-0.5172532024498092,0.00468219948,-2.969355545658541,-2.968148272442471,-2.967611706568662,-2.968282413910923
-1.0544617776147223,-0.5296695811127416,0.004782580331840605,-2.942334340946044,-2.9427609048895214,-2.961684333031933,-2.9753313219000423,-1.0386921261174482,-0.5172377569840607,0.00468219948,-2.969355545658541,-2.968148272442471,-2.967611706568662,-2.968282413910923
-1.053670527041065,-0.5291822057584594,0.0047257052665059356,-2.941863403107702,-2.9434175928642583,-2.9619683957355316,-2.975711322170203,-1.0386921261174482,-0.5172300342511865,0.00468219948,-2.9692214041900886,-2.968148272442471,-2.967611706568662,-2.968282413910923
-1.05456727769121,-0.5296347685874356,0.00479070534117413,-2.942899466352056,-2.9442619059746367,-2.9629152714141944,-2.976661322845608,-1.038684403384574,-0.5172223115183123,0.00468219948,-2.9692214041900886,-2.968014130974019,-2.967611706568662,-2.968282413910923
-1.0541452773852593,-0.5293910809102946,0.004750080294506506,-2.9426169036490495,-2.9437928431355376,-2.962631208710596,-2.9760913224403653,-1.0386921261174482,-0.5172145887854381,0.00468219948,-2.9692214041900886,-2.968014130974019,-2.967611706568662,-2.968282413910923
-1.0544090275764786,-0.5296695811127416,0.004782580331840605,-2.9430878414873916,-2.9434175928642583,-2.96225245843913,-2.975711322170203,-1.0386998488503223,-0.5172145887854381,0.00468219948,-2.9692214041900886,-2.968014130974019,-2.967611706568662,-2.968148272442471
-1.0546727777676979,-0.5297392061633532,0.0048028928551744135,-2.9430878414873916,-2.9434175928642583,-2.9617790205997996,-2.9755213220351218,-1.0386998488503223,-0.5172145887854381,0.00468219948,-2.9692214041900886,-2.968014130974019,-2.967611706568662,-2.968148272442471
-1.0543035274999908,-0.5295651435368238,0.0047866428365073675,-2.942805278784387,-2.943511405432079,-2.9621577708712645,-2.9756163221026632,-1.0387075715831966,-0.5172068660525638,0.00468219948,-2.9692214041900886,-2.968014130974019,-2.967611706568662,-2.968148272442471
-1.0549365279589171,-0.5298784562645766,0.004811017864507938,-2.942805278784387,-2.9437928431355376,-2.96225245843913,-2.9760913224403653,-1.0387152943160707,-0.5172145887854381,0.00468219948,-2.9690872627216365,-2.968014130974019,-2.967611706568662,-2.968148272442471
-1.054356277538235,-0.5295651435368238,0.004770392817840318,-2.9420517782430395,-2.944168093406816,-2.9627258962784615,-2.976376322642987,-1.0387152943160707,-0.5172223115183123,0.00468219948,-2.9690872627216365,-2.968014130974019,-2.967611706568662,-2.968148272442471
