potentiometer0,potentiometer1,potentiometer2,potentiometer3,potentiometer4,potentiometer5,potentiometer6,encoder0,encoder1,encoder2,encoder3,encoder4,encoder5,encoder6
-1.0558292295699012,-0.5326300656227925,0.005064808932070678,-2.9531982744945187,-2.9299768438192473,-2.9749842632740826,-2.9740193180247836,-1.0408390458564825,-0.5154460829572407,0.00465886626,-2.969355545658541,-2.968282413910923,-2.9665385748210444,-2.966404433352592
-1.0558825777328498,-0.5327351144485475,0.005052547918040599,-2.9531982744945187,-2.92979056868594,-2.97479617563811,-2.9738304678895586,-1.040854491322231,-0.5154538056901149,0.00465886626,-2.969355545658541,-2.968282413910923,-2.9665385748210444,-2.966404433352592
-1.0559359258957983,-0.5327351144485475,0.0050688959367473745,-2.9531043181770174,-2.92979056868594,-2.97479617563811,-2.9738304678895586,-1.0408622140551052,-0.5154538056901149,0.00465886626,-2.969355545658541,-2.968282413910923,-2.9665385748210444,-2.966404433352592
-1.0559892740587469,-0.5326650818980441,0.0050688959367473745,-2.9531982744945187,-2.9298837062525944,-2.974890219456096,-2.9742081681600094,-1.0408622140551052,-0.5154460829572407,0.00465886626,-2.969355545658541,-2.968282413910923,-2.9665385748210444,-2.966404433352592
-1.0559359258957983,-0.5326300656227925,0.005060721927393985,-2.9532922308120217,-2.9299768438192473,-2.97479617563811,-2.9739248929571707,-1.0408699367879795,-0.5154460829572407,0.00465886626,-2.969355545658541,-2.968282413910923,-2.9665385748210444,-2.966404433352592
-1.0559892740587469,-0.5325600330722893,0.005052547918040599,-2.9531043181770174,-2.9298837062525944,-2.9747021318201243,-2.9740193180247836,-1.0408699367879795,-0.5154460829572407,0.00465886626,-2.969355545658541,-2.968282413910923,-2.9665385748210444,-2.966404433352592
-1.0559892740587469,-0.5326650818980441,0.005064808932070678,-2.9531982744945187,-2.9301631189525557,-2.974608088002137,-2.9739248929571707,-1.0408699367879795,-0.5154460829572407,0.00465886626,-2.9692214041900886,-2.968282413910923,-2.9665385748210444,-2.966404433352592
-1.0558825777328498,-0.5326300656227925,0.005052547918040599,-2.953010361859515,-2.92979056868594,-2.97479617563811,-2.9739248929571707,-1.0408699367879795,-0.5154383602243664,0.00465886626,-2.9692214041900886,-2.968282413910923,-2.9665385748210444,-2.966404433352592
-1.0557758814069527,-0.5325950493475409,0.005064808932070678,-2.953010361859515,-2.930069981385901,-2.9749842632740826,-2.9738304678895586,-1.0408699367879795,-0.5154383602243664,0.00465886626,-2.9692214041900886,-2.968282413910923,-2.9665385748210444,-2.966404433352592
-1.0559892740587469,-0.5327351144485475,0.005060721927393985,-2.953010361859515,-2.9298837062525944,-2.974608088002137,-2.9738304678895586,-1.0408776595208535,-0.5154383602243664,0.00465886626,-2.9692214041900886,-2.968148272442471,-2.9665385748210444,-2.966404433352592
-1.0558825777328498,-0.5327351144485475,0.005060721927393985,-2.9531982744945187,-2.92979056868594,-2.974890219456096,-2.9737360428219457,-1.0408622140551052,-0.5154383602243664,0.00465886626,-2.9692214041900886,-2.968148272442471,-2.9665385748210444,-2.966404433352592
-1.0560426222216959,-0.5326300656227925,0.005064808932070678,-2.952916405542013,-2.930069981385901,-2.9751723509100545,-2.9740193180247836,-1.0408467685893568,-0.5154383602243664,0.00465886626,-2.9690872627216365,-2.968148272442471,-2.9665385748210444,-2.966404433352592
-1.0558825777328498,-0.5326650818980441,0.005052547918040599,-2.953010361859515,-2.9299768438192473,-2.974890219456096,-2.9741137430923956,-1.0408467685893568,-0.5154383602243664,0.00465886626,-2.9690872627216365,-2.968148272442471,-2.9665385748210444,-2.966404433352592
-1.0559359258957983,-0.5327000981732957,0.0050688959367473745,-2.9527284929070086,-2.92979056868594,-2.974890219456096,-2.9737360428219457,-1.0408390458564825,-0.5154383602243664,0.00465886626,-2.9690872627216365,-2.968148272442471,-2.9665385748210444,-2.966404433352592
-1.0559892740587469,-0.5327000981732957,0.005052547918040599,-2.9528224492245108,-2.92979056868594,-2.97479617563811,-2.9740193180247836,-1.0408467685893568,-0.5154383602243664,0.004657569970000001,-2.9689531212531843,-2.968148272442471,-2.9665385748210444,-2.966404433352592
-1.0559892740587469,-0.5326300656227925,0.005064808932070678,-2.952916405542013,-2.9299768438192473,-2.97479617563811,-2.9738304678895586,-1.0408622140551052,-0.5154383602243664,0.004657569970000001,-2.9689531212531843,-2.968148272442471,-2.9665385748210444,-2.966404433352592
-1.0559359258957983,-0.5327000981732957,0.005052547918040599,-2.952916405542013,-2.9299768438192473,-2.97479617563811,-2.9738304678895586,-1.0408699367879795,-0.5154460829572407,0.004657569970000001,-2.9689531212531843,-2.968148272442471,-2.9665385748210444,-2.966404433352592
-1.0559892740587469,-0.5327000981732957,0.005064808932070678,-2.952916405542013,-2.9296042935526314,-2.97479617563811,-2.9738304678895586,-1.0408776595208535,-0.5154460829572407,0.004657569970000001,-2.9689531212531843,-2.968148272442471,-2.9665385748210444,-2.966404433352592
-1.0559359258957983,-0.5327351144485475,0.005064808932070678,-2.9528224492245108,-2.9298837062525944,-2.97479617563811,-2.9741137430923956,-1.0408776595208535,-0.5154460829572407,0.00465886626,-2.9689531212531843,-2.968148272442471,-2.9665385748210444,-2.9665385748210444
-1.0558825777328498,-0.5327000981732957,0.005052547918040599,-2.953010361859515,-2.92979056868594,-2.97479617563811,-2.9742081681600094,-1.0408853822537278,-0.5154538056901149,0.004657569970000001,-2.9689531212531843,-2.968014130974019,-2.9665385748210444,-2.9665385748210444
-1.0559892740587469,-0.5326300656227925,0.005056634922717292,-2.952916405542013,-2.92979056868594,-2.97479617563811,-2.9738304678895586,-1.0408776595208535,-0.5154538056901149,0.004657569970000001,-2.9689531212531843,-2.968014130974019,-2.9665385748210444,-2.9665385748210444
-1.0560426222216959,-0.5326650818980441,0.0050688959367473745,-2.953010361859515,-2.9298837062525944,-2.9749842632740826,-2.9742081681600094,-1.0408699367879795,-0.5154538056901149,0.004657569970000001,-2.9689531212531843,-2.968014130974019,-2.9665385748210444,-2.9665385748210444
-1.0560426222216959,-0.5327000981732957,0.005056634922717292,-2.9528224492245108,-2.92979056868594,-2.974890219456096,-2.9739248929571707,-1.0408622140551052,-0.5154538056901149,0.004657569970000001,-2.9689531212531843,-2.968014130974019,-2.9665385748210444,-2.9665385748210444
-1.0560426222216959,-0.5326300656227925,0.005060721927393985,-2.9528224492245108,-2.929697431119286,-2.97479617563811,-2.9741137430923956,-1.040854491322231,-0.5154460829572407,0.004657569970000001,-2.9689531212531843,-2.968014130974019,-2.9665385748210444,-2.9665385748210444
